Method, Column, Mode, EjecutionTime(ms), Comparations, Interchanges
BinaryInsertionSort,Nombre de CancionAscendente,361,4407,253136
MergeSort,Nombre de CancionAscendente,34,4440,10975
QuickSort,Nombre de CancionAscendente,910,499500,81699
